year,month,state,primary.mode,etiology,serotype.or.genotype,etiology.status,setting,illnesses,hospitalizations,deaths,food.vehicle,food.contaminated.ingredient,ifsac.category,water.exposure,water.type,water.status
2001,5,Illinois,Food,clostridium,NA, suspected,Restaurant - other or unknown type,6,0,0,NA,NA,NA,NA,NA,NA
2001,5,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,2,0,0,NA,NA,NA,NA,NA,NA
2001,5,Illinois,Food,bacillus,NA,suspected,Caterer (food prepared off-site from where served),33,1,0,"ethnic style, unspecified",NA,Unclassifiable,NA,NA,NA
2001,5,Illinois,Food,clostridium,NA, suspected,Caterer (food prepared off-site from where served),33,1,0,"ethnic style, unspecified",NA,Unclassifiable,NA,NA,NA
2001,5,Illinois,Food,salmonella,Group C1,suspected,Restaurant - other or unknown type,14,1,0,NA,NA,NA,NA,NA,NA
2001,1,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,2,0,0,NA,NA,NA,NA,NA,NA
2001,5,Illinois,Food,e. coli,O157:H7,confirmed,Private home/residence,2,NA,NA,"ground beef, hamburger",NA,Beef,NA,NA,NA
2001,6,Illinois,Food,salmonella,Enteritidis,confirmed,Restaurant - other or unknown type,6,2,0,NA,NA,NA,NA,NA,NA
2001,6,Illinois,Food,clostridium,NA,confirmed,Restaurant - other or unknown type,3,0,0,"chicken, tetrazini",NA,Multiple,NA,NA,NA
2001,7,Illinois,Food,staphylococcus,NA,suspected,Restaurant - other or unknown type,2,0,0,NA,NA,NA,NA,NA,NA
2001,7,Illinois,Food,bacillus,NA, suspected,Restaurant - other or unknown type,2,0,0,NA,NA,NA,NA,NA,NA
2001,7,Illinois,Food,clostridium,NA,suspected,Restaurant - other or unknown type,6,0,0,NA,NA,NA,NA,NA,NA
2001,7,Illinois,Food,bacillus,NA, suspected,Restaurant - other or unknown type,6,0,0,NA,NA,NA,NA,NA,NA
2001,7,Illinois,Food,salmonella,Enteritidis,confirmed,Long-term care/nursing home/assisted living facility,47,4,0,NA,NA,NA,NA,NA,NA
2001,7,Illinois,Food,salmonella,Typhimurium,confirmed,Restaurant - other or unknown type,4,4,0,NA,NA,NA,NA,NA,NA
2001,7,Illinois,Food,e. coli,O157:H7,confirmed,Private home/residence,19,8,0,"ground beef, hamburger",NA,Beef,NA,NA,NA
2001,8,Illinois,Food,bacillus,NA,suspected,Restaurant - other or unknown type,19,0,0,"beef, other",NA,Beef,NA,NA,NA
2001,8,Illinois,Food,clostridium,NA, suspected,Restaurant - other or unknown type,19,0,0,"beef, other",NA,Beef,NA,NA,NA
2001,8,Illinois,Food,e. coli,NA,confirmed,Restaurant - other or unknown type,21,0,0,NA,NA,NA,NA,NA,NA
2001,8,Illinois,Food,clostridium,NA,suspected,Restaurant - other or unknown type,10,0,0,"sandwich, unspecified",NA,Multiple,NA,NA,NA
2001,8,Illinois,Food,bacillus,NA, suspected,Restaurant - other or unknown type,10,0,0,"sandwich, unspecified",NA,Multiple,NA,NA,NA
2001,8,Illinois,Food,salmonella,Enteritidis,confirmed,Restaurant - other or unknown type,2,2,0,NA,NA,NA,NA,NA,NA
2001,8,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,4,0,0,NA,NA,NA,NA,NA,NA
2001,8,Illinois,Food,salmonella,Uganda,confirmed,Grocery store,20,5,0,"pork, other",NA,Pork,NA,NA,NA
2001,8,Illinois,Food,clostridium,NA,suspected,Restaurant - other or unknown type,15,0,0,NA,NA,NA,NA,NA,NA
2001,8,Illinois,Food,bacillus,NA, suspected,Restaurant - other or unknown type,15,0,0,NA,NA,NA,NA,NA,NA
2001,7,Illinois,Food,staphylococcus,NA,suspected,Restaurant - other or unknown type,3,0,0,NA,NA,NA,NA,NA,NA
2001,7,Illinois,Food,bacillus,NA, suspected,Restaurant - other or unknown type,3,0,0,NA,NA,NA,NA,NA,NA
2001,9,Illinois,Food,scombroid toxin,NA,confirmed,Restaurant - other or unknown type,2,2,0,"fish, albacore",NA,Fish,NA,NA,NA
2001,9,Illinois,Food,e. coli,O157:H7,confirmed,Unknown,8,4,0,NA,NA,NA,NA,NA,NA
2001,10,Illinois,Food,NA,NA,NA,School/college/university,175,NA,NA,NA,NA,NA,NA,NA,NA
2001,10,Illinois,Food,staphylococcus,NA,suspected,Restaurant - other or unknown type,5,0,0,NA,NA,NA,NA,NA,NA
2001,10,Illinois,Food,bacillus,NA, suspected,Restaurant - other or unknown type,5,0,0,NA,NA,NA,NA,NA,NA
2001,8,Illinois,Food,NA,NA,NA,Other,4,0,0,NA,NA,NA,NA,NA,NA
2001,7,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,3,0,0,NA,NA,NA,NA,NA,NA
2001,10,Illinois,Food,clostridium,NA,suspected,Restaurant - other or unknown type,5,0,0,NA,NA,NA,NA,NA,NA
2001,10,Illinois,Food,bacillus,NA, suspected,Restaurant - other or unknown type,5,0,0,NA,NA,NA,NA,NA,NA
2001,10,Illinois,Food,staphylococcus,NA,suspected,Restaurant - other or unknown type,5,0,0,NA,NA,NA,NA,NA,NA
2001,10,Illinois,Food,bacillus,NA, suspected,Restaurant - other or unknown type,5,0,0,NA,NA,NA,NA,NA,NA
2001,9,Illinois,Food,clostridium,NA,suspected,"Fair, festival, other temp or mobile services",7,1,0,NA,NA,NA,NA,NA,NA
2001,9,Illinois,Food,bacillus,NA, suspected,"Fair, festival, other temp or mobile services",7,1,0,NA,NA,NA,NA,NA,NA
2001,12,Illinois,Food,NA,NA,NA,Unknown,4,NA,NA,NA,NA,NA,NA,NA,NA
2001,12,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,19,NA,NA,NA,NA,NA,NA,NA,NA
2001,12,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,8,NA,NA,NA,NA,NA,NA,NA,NA
2001,12,Iowa,Food,clostridium,NA,confirmed,Other,22,0,0,"gravy, beef; roast beef, other",sauces/ dressings,Multiple,NA,NA,NA
2001,12,Illinois,Food,NA,NA,NA,Private home/residence,18,NA,NA,NA,NA,NA,NA,NA,NA
2001,12,Illinois,Food,NA,NA,NA,Private home/residence,6,NA,NA,NA,NA,NA,NA,NA,NA
2001,12,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type; Other,3,NA,NA,NA,NA,NA,NA,NA,NA
2001,9,Iowa,Food,salmonella,Enteritidis,confirmed,Other,27,NA,0,"chicken, nuggets/fingers",chicken,Chicken,NA,NA,NA
2001,6,Iowa,Food,NA,NA,NA,Unknown,15,NA,NA,NA,NA,NA,NA,NA,NA
2001,5,Iowa,Food,salmonella,Typhimurium,confirmed,Private home/residence,21,3,0,speciality salads unspecified,chicken,Chicken,NA,NA,NA
2001,10,Illinois,Food,clostridium,NA,suspected,Caterer (food prepared off-site from where served),5,0,0,NA,NA,NA,NA,NA,NA
2001,10,Illinois,Food,bacillus,NA, suspected,Caterer (food prepared off-site from where served),5,0,0,NA,NA,NA,NA,NA,NA
2001,11,Wisconsin,Food,campylobacter,NA,confirmed,Other,75,0,0,"whole milk, unpasteurized",NA,Dairy,NA,NA,NA
2001,8,Wisconsin,Food,e. coli,O157:H7,suspected,"Fair, festival, other temp or mobile services",55,6,0,NA,NA,NA,NA,NA,NA
2001,6,Wisconsin,Food,salmonella,Braenderup,confirmed,Restaurant - other or unknown type,21,0,0,"chicken, grilled",NA,Chicken,NA,NA,NA
2001,7,Wisconsin,Food,e. coli,O169:H41,confirmed,Restaurant - other or unknown type,21,0,0,"quesadilla, unspecified",NA,Multiple,NA,NA,NA
2001,7,Wisconsin,Food,salmonella,Mbandaka; Javiana; Kentucky,confirmed,Prison/jail,56,0,0,meat sauce,NA,Multiple,NA,NA,NA
2001,7,Wisconsin,Food,salmonella,Mbandaka; Javiana; Kentucky, confirmed,Prison/jail,56,0,0,meat sauce,NA,Multiple,NA,NA,NA
2001,7,Wisconsin,Food,salmonella,Mbandaka; Javiana; Kentucky, confirmed,Prison/jail,56,0,0,meat sauce,NA,Multiple,NA,NA,NA
2001,8,Wisconsin,Food,salmonella,Javiana,confirmed,Private home/residence,4,NA,NA,NA,NA,NA,NA,NA,NA
2001,8,Wisconsin,Food,clostridium,NA,confirmed,Restaurant - other or unknown type,42,0,0,turkey and gravy,NA,Multiple,NA,NA,NA
2001,10,Wisconsin,Food,campylobacter,Thompson,confirmed,Private home/residence,80,NA,NA,"beef/steak dish, unspecified",NA,Multiple,NA,NA,NA
2001,10,Wisconsin,Food,salmonella,Thompson, confirmed,Private home/residence,80,NA,NA,"beef/steak dish, unspecified",NA,Multiple,NA,NA,NA
2001,10,Wisconsin,Food,NA,NA,NA,Restaurant - other or unknown type,31,NA,0,NA,NA,NA,NA,NA,NA
2001,10,Wisconsin,Food,e. coli,O157:H7,confirmed,Other,34,6,0,NA,NA,NA,NA,NA,NA
2001,9,Wisconsin,Food,campylobacter,NA,confirmed,Private home/residence,20,3,0,"meat, unspecified",NA,Multiple,NA,NA,NA
2001,9,Wisconsin,Food,staphylococcus,NA, confirmed,Private home/residence,20,3,0,"meat, unspecified",NA,Multiple,NA,NA,NA
2001,9,Wisconsin,Food,NA,NA,NA,Restaurant - other or unknown type,10,0,0,NA,NA,NA,NA,NA,NA
2001,12,Wisconsin,Food,NA,NA,NA,Restaurant - other or unknown type,26,0,0,NA,NA,NA,NA,NA,NA
2001,6,Iowa,Water,shigella,NA,confirmed,Park - Waterpark,45,7,0,NA,NA,NA,Recreational water -- treated,Pool - Swimming Pool; Other,Reviewed
2001,10,Illinois,Water,unknown,NA,suspected,School/College/University,79,0,0,NA,NA,NA,Drinking water,Other,Reviewed
2001,7,Illinois,Water,cryptosporidium,NA,confirmed,Park - Waterpark,358,11,0,NA,NA,NA,Recreational water -- treated,Pool - Swimming Pool,Reviewed
2001,1,Wisconsin,Water,campylobacter,NA,confirmed,Private Residence,13,2,0,NA,NA,NA,Drinking water,Individual/Private,Reviewed
2001,9,Wisconsin,Water,chloramines,NA,confirmed,School/College/University,20,0,0,NA,NA,NA,Recreational water -- treated,Pool - Swimming Pool,Reviewed
2001,11,Wisconsin,Water,pseudomonas,NA,suspected,Hotel/Motel/Lodge/Inn,7,0,0,NA,NA,NA,Recreational water -- treated,Spa/Whirlpool/Hot Tub,Reviewed
2002,1,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,4,0,0,NA,NA,NA,NA,NA,NA
2002,1,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,3,0,0,NA,NA,NA,NA,NA,NA
2002,1,Illinois,Food,NA,NA,NA,Other,2,0,0,NA,NA,NA,NA,NA,NA
2002,1,Illinois,Food,salmonella,Enteritidis,confirmed,Restaurant - other or unknown type,130,36,0,NA,NA,NA,NA,NA,NA
2002,1,Illinois,Food,salmonella,Enteritidis,confirmed,Restaurant - other or unknown type,5,NA,0,NA,NA,NA,NA,NA,NA
2002,2,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,2,0,0,NA,NA,NA,NA,NA,NA
2002,2,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,2,0,0,NA,NA,NA,NA,NA,NA
2002,2,Illinois,Food,bacillus,NA,suspected,Restaurant - other or unknown type,5,0,0,NA,NA,NA,NA,NA,NA
2002,2,Illinois,Food,clostridium,NA, suspected,Restaurant - other or unknown type,5,0,0,NA,NA,NA,NA,NA,NA
2002,3,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,3,0,0,NA,NA,NA,NA,NA,NA
2002,3,Illinois,Food,NA,NA,NA,Caterer (food prepared off-site from where served),10,NA,NA,"sandwich, unspecified",NA,Multiple,NA,NA,NA
2002,4,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,2,0,0,NA,NA,NA,NA,NA,NA
2002,4,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,2,0,0,NA,NA,NA,NA,NA,NA
2002,4,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,2,0,0,NA,NA,NA,NA,NA,NA
2002,4,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,5,NA,NA,taco or nacho salad,NA,Multiple,NA,NA,NA
2002,4,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,4,0,0,NA,NA,NA,NA,NA,NA
2002,3,Illinois,Food,e. coli,O157:H7,confirmed,Other,17,5,0,NA,NA,NA,NA,NA,NA
2002,4,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,4,0,0,NA,NA,NA,NA,NA,NA
2002,5,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,2,0,0,NA,NA,NA,NA,NA,NA
2002,4,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,2,0,0,NA,NA,NA,NA,NA,NA
2002,5,Illinois,Food,salmonella,Enteritidis,confirmed,Other,8,0,0,NA,NA,NA,NA,NA,NA
2002,5,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,2,0,0,NA,NA,NA,NA,NA,NA
2002,4,Wisconsin,Food,clostridium,NA,confirmed,Restaurant - other or unknown type,34,0,0,"gravy, beef; beef, other",NA,Multiple,NA,NA,NA
2002,4,Wisconsin,Food,salmonella,Enteritidis,confirmed,Restaurant - other or unknown type,44,1,0,"sandwich, chicken parmesan",NA,Multiple,NA,NA,NA
2002,6,Illinois,Food,salmonella,Newport,confirmed,Private home/residence,26,2,0,"pork, roasted",NA,Pork,NA,NA,NA
2002,5,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,6,0,0,NA,NA,NA,NA,NA,NA
2002,5,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,8,0,0,NA,NA,NA,NA,NA,NA
2002,5,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,3,0,0,NA,NA,NA,NA,NA,NA
2002,4,Wisconsin,Food,salmonella,Hartford,confirmed,Restaurant - other or unknown type,43,NA,0,"refried beans, unspecified",NA,Multiple,NA,NA,NA
2002,6,Wisconsin,Food,clostridium,NA,confirmed,Grocery store; Other,13,0,0,"roast beef, other",NA,Beef,NA,NA,NA
2002,6,Wisconsin,Food,scombroid toxin,NA,suspected,Restaurant - other or unknown type,6,0,0,yellowfin tuna,NA,Fish,NA,NA,NA
2002,6,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,6,0,0,NA,NA,NA,NA,NA,NA
2002,6,Illinois,Food,salmonella,Heidelberg,confirmed,Restaurant - other or unknown type,19,3,0,NA,NA,NA,NA,NA,NA
2002,6,Illinois,Food,NA,NA,NA,Private home/residence; Caterer (food prepared off-site from where served),17,NA,NA,NA,NA,NA,NA,NA,NA
2002,6,Illinois,Food,e. coli,O157:H7,confirmed,Private home/residence,4,3,0,"ice, unspecified",NA,Other,NA,NA,NA
2002,7,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,24,1,0,"pork, other",NA,Pork,NA,NA,NA
2002,7,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,5,0,0,NA,NA,NA,NA,NA,NA
2002,6,Iowa,Food,e. coli,O157:H7,confirmed,Private home/residence,5,1,0,NA,NA,NA,NA,NA,NA
2002,3,Illinois,Food,salmonella,Heidelberg,confirmed,Restaurant - other or unknown type,22,6,0,NA,NA,NA,NA,NA,NA
2002,7,Wisconsin,Food,salmonella,Typhimurium,confirmed,Restaurant - other or unknown type,14,3,0,NA,NA,NA,NA,NA,NA
2002,7,Wisconsin,Food,salmonella,Newport,confirmed,Restaurant - other or unknown type,10,0,0,"sandwich, unspecified",NA,Multiple,NA,NA,NA
2002,8,Illinois,Food,clostridium,NA,confirmed,Caterer (food prepared off-site from where served),19,0,0,"roast beef, other",NA,Beef,NA,NA,NA
2002,7,Wisconsin,Food,salmonella,Enteritidis,confirmed,Restaurant - other or unknown type; Other,4,2,0,NA,NA,NA,NA,NA,NA
2002,8,Wisconsin,Food,campylobacter,NA,confirmed,Other,22,NA,0,NA,NA,NA,NA,NA,NA
2002,8,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,6,0,0,NA,NA,NA,NA,NA,NA
2002,8,Wisconsin,Food,e. coli,O157:H7,confirmed,Private home/residence; Camp,19,11,0,"ground beef, hamburger",NA,Beef,NA,NA,NA
2002,8,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,10,NA,NA,NA,NA,NA,NA,NA,NA
2002,9,Wisconsin,Food,salmonella,NA,confirmed,Private home/residence; Other,16,NA,0,"chicken, baked",NA,Chicken,NA,NA,NA
2002,8,Iowa,Food,salmonella,Enteritidis,confirmed,Restaurant - other or unknown type,47,7,0,mashed potato/gravy,NA,Multiple,NA,NA,NA
2002,8,Illinois,Food,shigella,NA,confirmed,Restaurant - other or unknown type,17,1,0,NA,NA,NA,NA,NA,NA
2002,9,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,5,1,0,NA,NA,NA,NA,NA,NA
2002,9,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,4,0,0,NA,NA,NA,NA,NA,NA
2002,10,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,2,0,0,NA,NA,NA,NA,NA,NA
2002,10,Wisconsin,Food,staphylococcus,NA,confirmed,Religious facility,29,3,0,"gravy, chicken",NA,Multiple,NA,NA,NA
2002,9,Wisconsin,Food,salmonella,NA,confirmed,Restaurant - other or unknown type,12,NA,NA,NA,NA,NA,NA,NA,NA
2002,10,Wisconsin,Food,salmonella,Typhimurium,confirmed,"Fair, festival, other temp or mobile services",4,1,0,"beef/steak dish, other",NA,Multiple,NA,NA,NA
2002,10,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,2,0,0,NA,NA,NA,NA,NA,NA
2002,10,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type; Caterer (food prepared off-site from where served),22,1,0,NA,NA,NA,NA,NA,NA
2002,11,Illinois,Food,NA,NA,NA,Other,48,0,0,"turkey, roasted",NA,Turkey,NA,NA,NA
2002,11,Illinois,Food,clostridium,NA,confirmed,Private home/residence; Other,24,NA,NA,"turkey, roasted",NA,Turkey,NA,NA,NA
2002,11,Illinois,Food,other - chemical/toxin,NA,confirmed,School/college/university,108,NA,NA,"chicken, other",NA,Chicken,NA,NA,NA
2002,9,Illinois,Food,clostridium,NA,confirmed,Prison/jail,950,1,0,"gravy, beef; roast beef, unspecified; potato, mashed",NA,Multiple,NA,NA,NA
2002,11,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,27,NA,NA,NA,NA,NA,NA,NA,NA
2002,12,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,33,0,0,NA,NA,NA,NA,NA,NA
2002,12,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,2,0,0,NA,NA,NA,NA,NA,NA
2002,12,Wisconsin,Food,clostridium,NA,confirmed,Restaurant - other or unknown type,12,NA,0,"beef, other",NA,Beef,NA,NA,NA
2002,12,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,4,0,0,NA,NA,NA,NA,NA,NA
2002,12,Illinois,Food,staphylococcus,NA,suspected,Restaurant - other or unknown type,4,0,0,NA,NA,NA,NA,NA,NA
2002,12,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,6,NA,NA,NA,NA,NA,NA,NA,NA
2002,10,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,4,0,0,NA,NA,NA,NA,NA,NA
2002,5,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,7,0,0,NA,NA,NA,NA,NA,NA
2002,8,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,4,0,0,NA,NA,NA,NA,NA,NA
2002,3,Iowa,Water,pseudomonas,NA,suspected,Hotel/Motel/Lodge/Inn,24,NA,NA,NA,NA,NA,Recreational water -- treated,Spa/Whirlpool/Hot Tub; Pool - Swimming Pool,Reviewed
2002,8,Illinois,Water,legionella,NA,confirmed,Hotel/Motel/Lodge/Inn,68,1,0,NA,NA,NA,Recreational water -- treated,Spa/Whirlpool/Hot Tub,Reviewed
2002,8,Illinois,Water, unknown,NA, suspected,Hotel/Motel/Lodge/Inn,68,1,0,NA,NA,NA,Recreational water -- treated,Spa/Whirlpool/Hot Tub,Reviewed
2002,8,Illinois,Water, unknown,NA, suspected,Hotel/Motel/Lodge/Inn,68,1,0,NA,NA,NA,Recreational water -- treated,Spa/Whirlpool/Hot Tub,Reviewed
2002,7,Wisconsin,Water,cryptosporidium,NA,confirmed,Park - State Park; Public Outdoor Area,44,1,0,NA,NA,NA,Recreational water -- untreated,Lake/Reservoir/Impoundment,Reviewed
2002,7,Wisconsin,Water,shigella,NA, confirmed,Park - State Park; Public Outdoor Area,44,1,0,NA,NA,NA,Recreational water -- untreated,Lake/Reservoir/Impoundment,Reviewed
2003,1,Illinois,Food,staphylococcus,NA,suspected,Restaurant - other or unknown type,6,0,0,NA,NA,NA,NA,NA,NA
2003,1,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,4,0,0,NA,NA,NA,NA,NA,NA
2003,2,Illinois,Food,clostridium,NA,confirmed,Caterer (food prepared off-site from where served),18,0,0,"pork, bbq",NA,Multiple,NA,NA,NA
2003,2,Illinois,Food,other - chemical/toxin,NA,confirmed,Office/indoor workplace,10,1,0,"mixed vegetables, unspecified",NA,Multiple,NA,NA,NA
2003,3,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,2,0,0,NA,NA,NA,NA,NA,NA
2003,3,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,3,0,0,NA,NA,NA,NA,NA,NA
2003,4,Illinois,Food,NA,NA,NA,Other,27,NA,NA,"chocolate milk, pasteurized",NA,Multiple,NA,NA,NA
2003,1,Illinois,Food,NA,NA,NA,School/college/university,18,0,0,"turkey, unspecified",NA,Turkey,NA,NA,NA
2003,5,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,5,0,0,NA,NA,NA,NA,NA,NA
2003,5,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,5,0,0,NA,NA,NA,NA,NA,NA
2003,4,Wisconsin,Food,shigella,serotype 3 unspecified,confirmed,Restaurant - other or unknown type,3,1,0,NA,NA,NA,NA,NA,NA
2003,3,Wisconsin,Food,campylobacter,NA,suspected,Other,2,0,0,"other milk, unpasteurized",NA,Dairy,NA,NA,NA
2003,5,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,16,0,0,NA,NA,NA,NA,NA,NA
2003,6,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type; Other,3,0,0,NA,NA,NA,NA,NA,NA
2003,6,Illinois,Food,salmonella,Javiana,confirmed,Restaurant - other or unknown type,227,9,0,"fajita, chicken; taco, chicken",NA,Multiple,NA,NA,NA
2003,5,Wisconsin,Food,salmonella,Enteritidis,confirmed,Prison/jail,3,NA,NA,"eggs, unspecified",NA,Eggs,NA,NA,NA
2003,6,Wisconsin,Food,campylobacter,NA,confirmed,Restaurant - other or unknown type,3,0,0,"nachos, unspecified",NA,Multiple,NA,NA,NA
2003,7,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,10,0,0,green salad,NA,Multiple,NA,NA,NA
2003,1,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,5,NA,NA,NA,NA,NA,NA,NA,NA
2003,2,Illinois,Food,histamine,NA,suspected,Restaurant - other or unknown type,2,0,0,"tuna, unspecified",NA,Fish,NA,NA,NA
2003,7,Illinois,Food,NA,NA,NA,Restaurant - other or unknown type,2,0,0,NA,NA,NA,NA,NA,NA
2003,8,Illinois,Food,salmonella,Heidelberg,confirmed,Restaurant - other or unknown type,4,2,0,"pie, cream",NA,Multiple,NA,NA,NA
2003,8,Illinois,Food,bacillus,NA,suspected,Other,17,1,0,NA,NA,NA,NA,NA,NA
2003,8,Illinois,Food,clostridium,NA, suspected,Other,17,1,0,NA,NA,NA,NA,NA,NA
2003,8,Illinois,Food,bacillus,NA,suspected,Private home/residence; Religious facility,20,1,0,"beans, baked; potato salad",NA,Multiple,NA,NA,NA
2003,8,Illinois,Food,staphylococcus,NA, suspected,Private home/residence; Religious facility,20,1,0,"beans, baked; potato salad",NA,Multiple,NA,NA,NA
2003,8,Illinois,Food,e. coli,O157:H7,confirmed,Restaurant - other or unknown type,30,3,0,NA,NA,NA,NA,NA,NA
2003,8,Wisconsin,Food,campylobacter,NA,confirmed,Restaurant - other or unknown type,5,0,0,"chicken, baked",NA,Chicken,NA,NA,NA
2003,9,Illinois,Food,staphylococcus,NA,suspected,Restaurant - other or unknown type,2,0,0,NA,NA,NA,NA,NA,NA
2003,7,Wisconsin,Food,salmonella,London,confirmed,Private home/residence,26,0,0,"sandwich, ham",NA,Multiple,NA,NA,NA
2003,7,Wisconsin,Food,salmonella,Typhimurium,confirmed,Other,38,3,0,"chicken, unspecified",NA,Chicken,NA,NA,NA
2003,9,Illinois,Food,clostridium,NA,suspected,Restaurant - other or unknown type,16,0,0,NA,NA,NA,NA,NA,NA
2003,9,Illinois,Food,bacillus,NA, suspected,Restaurant - other or unknown type,16,0,0,NA,NA,NA,NA,NA,NA
